潮汕周边,#genre#
CCTV-1综合,http://192.168.1.1:10000/udp/239.77.0.30:5146
CCTV-2财经,http://192.168.1.1:10000/udp/239.77.0.31:5146
CCTV-3综艺,http://192.168.1.1:10000/udp/239.0.10.52:5052
CCTV-4中文国际,http://192.168.1.1:10000/udp/239.77.0.33:5146
CCTV-5体育,http://192.168.1.1:10000/udp/239.0.10.53:5053
CCTV-6电影,http://192.168.1.1:10000/udp/239.0.10.54:5054
CCTV-7国防军事,http://192.168.1.1:10000/udp/239.77.0.36:5146
CCTV-8电视剧,http://192.168.1.1:10000/udp/239.0.10.55:5055
CCTV-9纪录,http://192.168.1.1:10000/udp/239.77.0.38:5146
CCTV-10科教,http://192.168.1.1:10000/udp/239.77.0.39:5146
CCTV-11戏曲,http://192.168.1.1:10000/udp/239.77.0.40:5146
CCTV-12社会与法,http://192.168.1.1:10000/udp/239.77.0.41:5146
CCTV-13新闻,http://192.168.1.1:10000/udp/239.77.0.42:5146
CCTV-14少儿,http://192.168.1.1:10000/udp/239.77.0.43:5146
CCTV-15音乐,http://192.168.1.1:10000/udp/239.77.0.44:5146
CCTV-17农业,http://192.168.1.1:10000/udp/239.77.0.115:5146
CCTV4中文国际欧洲高清,http://192.168.1.1:10000/udp/239.253.43.120:5146
CCTV4中文国际美洲高清,http://192.168.1.1:10000/udp/239.253.43.121:5146

央视超清,#genre#
CCTV-1超清,http://192.168.1.1:10000/udp/239.77.0.129:5146
CCTV-3超清,http://192.168.1.1:10000/udp/239.77.0.175:5146
CCTV-5超清,http://192.168.1.1:10000/udp/239.77.0.177:5146 
CCTV-6超清,http://192.168.1.1:10000/udp/239.77.0.178:5146
CCTV-8超清,http://192.168.1.1:10000/udp/239.77.0.181:5146
CCTV4K-25P,http://192.168.1.1:10000/udp/239.77.0.194:5146
CCTV4K-50P,http://192.168.1.1:10000/udp/239.77.0.174:5146
CCTV-1高清4M,http://192.168.1.1:10000/udp/239.77.0.119:5146

广东超清,#genre#
广东卫视超清,http://192.168.1.1:10000/udp/239.77.0.166:5146
经济科教超清,http://192.168.1.1:10000/udp/239.77.0.167:5146
广东体育超清,http://192.168.1.1:10000/udp/239.77.0.168:5146
广东珠江超清,http://192.168.1.1:10000/udp/239.77.0.114:5146
深圳卫视超清,http://192.168.1.1:10000/udp/239.77.0.130:5146

广东高清,#genre#
